"hanzi_sc","hanzi_trad","pinyin","pinyin_style2","level","level_zh","cc_cedict_definitions"
"秀","秀","xiù","xiu4","4","Level 4","handsome/refined/elegant/graceful/superior/show (loanword)/CL:場|场[chang2]/(literary) to grow/to bloom/(of crops) to produce ears"
"依","依","yī","yi1","4","Level 4","to depend on/to comply with or listen to sb/according to/in the light of"
"即","即","jí","ji2","4","Level 4","namely/that is/i.e./prompt/at once/at present/even if/prompted (by the occasion)/to approach/to come into contact/to assume (office)/to draw near"
"益","益","yì","yi4","4","Level 4","benefit/profit/advantage/beneficial/to increase/to add/all the more"
"冲","沖衝","chōng","chong1","4","Level 4","powerful/vigorous/pungent/towards/in view of"
"兄","兄","xiōng","xiong1","4","Level 4","elder brother"
"圈","圈","quān","quan1","4","Level 4","circle; ring; loop (CL:個|个[ge4])/classifier for loops, orbits, laps of race etc/to surround; to circle"
"案","案","àn","an4","4","Level 4","(legal) case/incident/record/file/table"
"殊","殊","shū","shu1","4","Level 4","different/unique/special/very/(classical) to behead/to die/to cut off/to separate/to surpass"
"顶","頂","dǐng","ding3","4","Level 4","apex/crown of the head/top/roof/most/to carry on the head/to push to the top/to go against/to replace/to substitute/to be subjected to (an aerial bombing, hailstorm etc)/(slang) to ""bump"" a forum thread to raise its profile/classifier for headwear, hats, veils etc"
"挥","揮","huī","hui1","4","Level 4","to wave/to brandish/to command/to conduct/to scatter/to disperse"
"独","獨","dú","du2","4","Level 4","alone/independent/single/sole/only"
"列","列","liè","lie4","4","Level 4","to arrange/to line up/file/series/(in data tables) column/(Tw) row"
"则","則","zé","ze2","4","Level 4","(literary) (conjunction used to express contrast with a previous clause) but; then/(bound form) standard; norm/(bound form) principle/(literary) to imitate; to follow/classifier for written items"
"童","童","tóng","tong2","4","Level 4","child"
"措","措","cuò","cuo4","4","Level 4","to handle/to manage/to put in order/to arrange/to administer/to execute/to take action on/to plan"
"施","施","shī","shi1","4","Level 4","(bound form) to put into effect (regulations etc)/to distribute (alms etc)/to apply (fertilizer etc)"
"序","序","xù","xu4","4","Level 4","(bound form) order; sequence/(bound form) introductory; initial/preface"
"宝","寶","bǎo","bao3","4","Level 4","jewel/gem/treasure/precious"
"距","距","jù","ju4","4","Level 4","at a distance of/distance/to be apart"
"符","符","fú","fu2","4","Level 4","mark/sign/talisman/to seal/to correspond to/tally/symbol/written charm/to coincide"
"质","質","zhì","zhi4","4","Level 4","character/nature/quality/plain/to pawn/pledge/hostage/to question/Taiwan pr. [zhi2]"
"醒","醒","xǐng","xing3","4","Level 4","to wake up/to be awake/to become aware/to sober up/to come to"
"测","測","cè","ce4","4","Level 4","to survey/to measure/to conjecture"
"贴","貼","tiē","tie1","4","Level 4","to stick/to paste/to post (e.g. on a blog)/to keep close to/to fit snugly/to subsidize/allowance (e.g. money for food or housing)/sticker/classifier for sticking plaster: strip"
"针","針","zhēn","zhen1","4","Level 4","needle"
"席","席","xí","xi2","4","Level 4","seat/rank/woven mat"
"松","鬆松","sōng","song1","4","Level 4","loose/to loosen/to relax/floss (dry, fluffy food product made from shredded, seasoned meat or fish, used as a topping or filling)"
"权","權","quán","quan2","4","Level 4","authority/power/right/(literary) to weigh/expedient/temporary"
"户","戶","hù","hu4","4","Level 4","a household/door/family"
"良","良","liáng","liang2","4","Level 4","good/very/very much"
"居","居","jū","ju1","4","Level 4","to reside/to be (in a certain position)/to store up/to be at a standstill/residence/house/restaurant/classifier for bedrooms"
"迅","迅","xùn","xun4","4","Level 4","rapid/fast"
"减","減","jiǎn","jian3","4","Level 4","to lower/to decrease/to reduce/to subtract/to diminish"
"挑","挑","tiāo","tiao1","4","Level 4","to raise/to dig up/to poke/to prick/to incite/to stir up"
"彻","徹","chè","che4","4","Level 4","thorough/penetrating/to pervade/to pass through"
"怀","懷","huái","huai2","4","Level 4","bosom/heart/mind/to think of/to harbor in one's mind/to conceive (a child)"
"疑","疑","yí","yi2","4","Level 4","to doubt/to suspect"
"货","貨","huò","huo4","4","Level 4","goods/money/commodity"
"购","購","gòu","gou4","4","Level 4","to buy/to purchase"
"败","敗","bài","bai4","4","Level 4","to defeat/to damage/to lose (to an opponent)/to fail/to wither"
"烧","燒","shāo","shao1","4","Level 4","to burn/to cook/to stew/to bake/to roast/to heat/to boil (tea, water etc)/fever/to run a temperature/(coll.) to let things go to one's head"
"摆","擺","bǎi","bai3","4","Level 4","to arrange/to exhibit/to move to and fro/a pendulum"
"降","降","jiàng","jiang4","4","Level 4","to surrender/to capitulate/to subdue/to tame"
"秘","秘","mì","mi4","4","Level 4","secret/secretary"
"密","密","mì","mi4","4","Level 4","secret/confidential/close/thick/dense"
"趣","趣","qù","qu4","4","Level 4","interesting/to interest"
"移","移","yí","yi2","4","Level 4","to move/to shift/to change/to alter/to remove"
"奋","奮","fèn","fen4","4","Level 4","to exert oneself (bound form)"
"临","臨","lín","lin2","4","Level 4","to face/to overlook/to arrive/to be (just) about to/just before"
"避","避","bì","bi4","4","Level 4","to avoid/to shun/to flee/to escape/to keep away from/to leave/to hide from"
"官","官","guān","guan1","4","Level 4","government official/governmental/official/public/organ of the body/CL:個|个[ge4]"
"限","限","xiàn","xian4","4","Level 4","to limit/to restrict/(bound form) limit/bound"
"戴","戴","dài","dai4","4","Level 4","to put on or wear (glasses, hat, gloves etc)/to respect/to bear/to support"
"躺","躺","tǎng","tang3","4","Level 4","to recline/to lie down"
"奖","獎","jiǎng","jiang3","4","Level 4","prize/award/encouragement/CL:個|个[ge4]"
"垃","垃","lā","la1","4","Level 4","used in 垃圾[la1 ji1]/Taiwan pr. [le4]"
"圾","圾","jī","ji1","4","Level 4","used in 垃圾[la1 ji1]/Taiwan pr. [se4]"
"婆","婆","pó","po2","4","Level 4","grandmother/matron/mother-in-law/(slang) femme (in a lesbian relationship)"
"盖","蓋","gài","gai4","4","Level 4","lid/top/cover/canopy/to cover/to conceal/to build"
"培","培","péi","pei2","4","Level 4","to bank up with earth/to cultivate (lit. or fig.)/to train (people)"
"县","縣","xiàn","xian4","4","Level 4","county"
"抽","抽","chōu","chou1","4","Level 4","to draw out/to pull out from in between/to remove part of the whole/(of certain plants) to sprout or bud/to whip or thrash"
"码","碼","mǎ","ma3","4","Level 4","weight/number/code/to pile/to stack/classifier for length or distance (yard), happenings etc"
"替","替","tì","ti4","4","Level 4","to substitute for/to take the place of/to replace/for/on behalf of/to stand in for"
"俩","倆","liǎ","lia3","4","Level 4","used in 伎倆|伎俩[ji4 liang3]"
"敌","敵","dí","di2","4","Level 4","enemy/to be a match for/to rival/to resist/to withstand"
"刺","刺","cì","ci4","4","Level 4","thorn/sting/thrust/to prick/to pierce/to stab/to assassinate/to murder"
"激","激","jī","ji1","4","Level 4","to arouse/to incite/to excite/to stimulate/sharp/fierce/violent"
"维","維","wéi","wei2","4","Level 4","to preserve/to maintain/to hold together/dimension/vitamin (abbr. for 維生素|维生素[wei2 sheng1 su4])"
"均","均","jūn","jun1","4","Level 4","equal/even/all/uniform"
"归","歸","guī","gui1","4","Level 4","to return/to go back to/to give back to/(of a responsibility) to be taken care of by/to belong to/to gather together/(used between two identical verbs) despite/to marry (of a woman) (old)/division on the abacus with a one-digit divisor"
"登","登","dēng","deng1","4","Level 4","to scale (a height)/to ascend/to mount/to publish or record/to enter (e.g. in a register)/to press down with the foot/to step or tread on/to put on (shoes or trousers) (dialect)/to be gathered and taken to the threshing ground (old)"
"卷","卷捲","juǎn","juan3","4","Level 4","to roll up/to sweep up; to carry along/a roll/classifier for rolls, spools etc"
"译","譯","yì","yi4","4","Level 4","to translate/to interpret"
"贝","貝","bèi","bei4","4","Level 4","cowrie/shellfish/currency (archaic)"
"逐","逐","zhú","zhu2","4","Level 4","(bound form) to pursue/to chase away/individually/one by one"
"渐","漸","jiàn","jian4","4","Level 4","gradual/gradually"
"编","編","biān","bian1","4","Level 4","to weave/to plait/to organize/to group/to arrange/to edit/to compile/to write/to compose/to fabricate/to make up"
"闹","鬧","nào","nao4","4","Level 4","noisy/cacophonous/to make noise/to disturb/to vent (feelings)/to fall ill/to have an attack (of sickness)/to go in (for some activity)/to joke"
"季","季","jì","ji4","4","Level 4","season/the last month of a season/fourth or youngest amongst brothers/classifier for seasonal crop yields"
"综","綜","zōng","zong1","4","Level 4","(bound form) to synthesize; to combine/Taiwan pr. [zong4]"
"陆","陸","lù","lu4","4","Level 4","(bound form) land (as opposed to the sea)"
"模","模","mó","mo2","5","Level 5","mold/die/matrix/pattern"
"含","含","hán","han2","5","Level 5","to keep in the mouth/to contain"
"兵","兵","bīng","bing1","5","Level 5","soldiers/a force/an army/weapons/arms/military/warlike/CL:個|个[ge4]"
"士","士","shì","shi4","5","Level 5","member of the senior ministerial class (old)/scholar (old)/bachelor/honorific/soldier/noncommissioned officer/specialist worker"
"扩","擴","kuò","kuo4","5","Level 5","to enlarge"
"镜","鏡","jìng","jing4","5","Level 5","mirror/lens"
"微","微","wēi","wei1","5","Level 5","tiny/miniature/slightly/profound/abtruse/to decline/one millionth part of/micro-/Taiwan pr. [wei2]"
"细","細","xì","xi4","5","Level 5","thin or slender/finely particulate/thin and soft/fine/delicate/trifling/(of a sound) quiet/frugal"
"召","召","zhào","zhao4","5","Level 5","to call together/to summon/to convene/temple or monastery (used in place names in Inner Mongolia)"
"固","固","gù","gu4","5","Level 5","hard/strong/solid/sure/assuredly/undoubtedly/of course/indeed/admittedly"
"诗","詩","shī","shi1","5","Level 5","poem/CL:首[shou3]/poetry/verse"
"财","財","cái","cai2","5","Level 5","money/wealth/riches/property/valuables"
"宽","寬","kuān","kuan1","5","Level 5","wide/broad/loose/relaxed/lenient"
"透","透","tòu","tou4","5","Level 5","(bound form) to penetrate; to seep through/to tell secretly; to leak/thoroughly; through and through/to appear; to show"
"帅","帥","shuài","shuai4","5","Level 5","(bound form) commander-in-chief/(bound form) to lead; to command/handsome; graceful; dashing; elegant/(coll.) cool!; sweet!/(Chinese chess) general (on the red side, equivalent to a king in Western chess)"
"暗","暗闇","àn","an4","5","Level 5","(literary) to close (a door)/to eclipse/confused; ignorant/dark"
"呼","呼","hū","hu1","5","Level 5","to shout/to call out"
"圆","圓","yuán","yuan2","5","Level 5","circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (yuan)/tactful/to make consistent and whole (the narrative of a dream or a lie)"
"牙","牙","yá","ya2","5","Level 5","tooth/ivory/CL:顆|颗[ke1]"
"擦","擦","cā","ca1","5","Level 5","to rub; to scratch/to wipe; to polish/to apply (lipstick, lotion etc)/to brush (past)/to shred (a vegetable etc)"
"伙","夥伙","huǒ","huo3","5","Level 5","companion/partner/group/classifier for groups of people/to combine/together"
"伴","伴","bàn","ban4","5","Level 5","partner; companion; comrade; associate/to accompany"
"禁","禁","jìn","jin4","5","Level 5","to prohibit/to forbid"
"弱","弱","ruò","ruo4","5","Level 5","weak; feeble/young/inferior; not as good as/(following a decimal or fraction) slightly less than"
"折","折","zhé","zhe2","5","Level 5","to fold"
"摇","搖","yáo","yao2","5","Level 5","to shake/to rock/to row/to crank"
"阵","陣","zhèn","zhen4","5","Level 5","disposition of troops/wave/spate/burst/spell/short period of time/classifier for events or states of short duration"
"守","守","shǒu","shou3","5","Level 5","to guard/to defend/to keep watch/to abide by the law/to observe (rules or ritual)/nearby/adjoining"
"寄","寄","jì","ji4","5","Level 5","to send/to mail/to entrust/to depend on/to attach oneself to/to live (in a house)/to lodge/foster (son etc)"
"闭","閉","bì","bi4","5","Level 5","to close/to stop up/to shut/to obstruct"
"征","征徵","zhēng","zheng1","5","Level 5","to invite/to recruit/to levy (taxes)/to draft (troops)/phenomenon/symptom/characteristic sign (used as proof)/evidence"
"阅","閱","yuè","yue4","5","Level 5","to inspect/to review/to read/to peruse/to go through/to experience"
"江","江","jiāng","jiang1","5","Level 5","river/CL:條|条[tiao2],道[dao4]"
"森","森","sēn","sen1","5","Level 5","(bound form) densely wooded/(fig.) (bound form) multitudinous; gloomy; forbidding"
"林","林","lín","lin2","5","Level 5","(bound form) woods; forest/(bound form) circle(s) (i.e. specific group of people)/(bound form) a collection (of similar things)"
"脱","脫","tuō","tuo1","5","Level 5","to shed/to take off/to escape/to get away from"
"描","描","miáo","miao2","5","Level 5","to depict/to trace (a drawing)/to copy/to touch up"
"述","述","shù","shu4","5","Level 5","(bound form) to state; to tell; to narrate; to relate"
"隔","隔","gé","ge2","5","Level 5","to separate/to partition/to stand or lie between/at a distance from/after or at an interval of"
"闪","閃","shǎn","shan3","5","Level 5","to dodge/to duck out of the way/to beat it/shaken (by a fall)/to sprain/to pull a muscle/lightning/spark/a flash/to flash (across one's mind)/to leave behind/(Internet slang) (of a display of affection) ""dazzlingly"" saccharine"
"促","促","cù","cu4","5","Level 5","urgent/hurried/to urge/to promote/to urge haste/close/intimate"
"阻","阻","zǔ","zu3","5","Level 5","to hinder/to block/to obstruct"
"袋","袋","dài","dai4","5","Level 5","pouch/bag/sack/pocket"
"泪","淚","lèi","lei4","5","Level 5","tears"
"薄","薄","báo","bao2","5","Level 5","thin; flimsy/slight/poor/unkind"
"肚","肚","dù","du4","5","Level 5","belly"
"湿","濕","shī","shi1","5","Level 5","moist/wet"
"纯","純","chún","chun2","5","Level 5","pure/simple/unmixed/genuine"
"腰","腰","yāo","yao1","5","Level 5","waist/lower back/pocket/middle/loins"
